'time', 'Temp'
'0:14:41', -11.50
'0:14:43', -11.50
'0:14:45', -11.40
'0:14:47', -11.40
'0:14:49', -11.40
'0:14:51', -11.30
'0:14:54', -11.30
'0:14:56', -11.20
'0:14:58', -11.20
'0:15:0', -11.20
'0:15:2', -11.20
'0:15:4', -11.10
'0:15:6', -11.10
'0:15:8', -11.10
'0:15:11', -13.00
'0:15:13', -13.00
'0:15:15', -13.00
'0:15:17', -13.00
'0:15:19', -12.90
'0:15:21', -12.90
'0:15:23', -12.90
'0:15:25', -12.90
'0:15:28', -12.90
'0:15:30', -13.00
'0:15:32', -11.10
'0:15:34', -11.20
'0:15:36', -11.40
'0:15:38', -11.60
'0:15:40', -11.90
'0:15:43', -10.10
'0:15:45', -10.40
'0:15:47', -10.70
'0:15:49', -11.00
'0:15:51', -9.40
'0:15:53', -9.80
'0:15:55', -8.20
'0:15:57', -8.50
'0:16:0', -8.90
'0:16:2', -7.20
'0:16:4', -7.60
'0:16:6', -8.00
'0:16:8', -6.30
'0:16:10', -6.60
'0:16:12', -6.90
'0:16:15', -5.30
'0:16:17', -5.70
'0:16:19', -4.10
'0:16:21', -4.50
'0:16:23', -5.00
'0:16:25', -3.50
'0:16:27', -2.30
'0:16:29', -1.40
'0:16:32', -0.60
'0:16:34', 1.10
'0:16:36', 2.70
'0:16:38', 4.20
'0:16:40', 5.60
'0:16:42', 7.10
'0:16:44', 8.40
'0:16:46', 9.60
'0:16:49', 10.80
'0:16:51', 12.00
'0:16:53', 13.00
'0:16:55', 14.00
'0:16:57', 14.80
'0:16:59', 15.80
'0:17:1', 16.60
'0:17:4', 17.40
'0:17:6', 18.10
'0:17:8', 18.80
'0:17:10', 19.30
'0:17:12', 19.70
'0:17:14', 20.10
'0:17:16', 20.70
'0:17:18', 21.10
'0:17:21', 21.60
'0:17:23', 22.00
'0:17:25', 22.50
'0:17:27', 22.90
'0:17:29', 23.30
'0:17:31', 23.70
