'time', 'Temp'
'0:12:10', 23.80
'0:12:13', 23.70
'0:12:15', 23.70
'0:12:17', 23.70
'0:12:19', 23.80
'0:12:21', 23.70
'0:12:23', 23.70
'0:12:25', 23.70
'0:12:28', 23.70
'0:12:30', 23.70
'0:12:32', 23.70
'0:12:34', 23.70
'0:12:36', 23.70
'0:12:38', 23.70
'0:12:40', 23.70
'0:12:42', 23.70
'0:12:45', 23.70
'0:12:47', 23.70
'0:12:49', 23.70
'0:12:51', 23.70
'0:12:53', 23.70
'0:12:55', 23.70
'0:12:57', 23.70
'0:12:59', 23.60
'0:13:2', 23.70
'0:13:4', 23.70
'0:13:6', 23.70
'0:13:8', 23.60
'0:13:10', 23.70
'0:13:12', 23.70
'0:13:14', 23.70
'0:13:17', 23.70
'0:13:19', 23.60
'0:13:21', 23.70
'0:13:23', 23.70
'0:13:25', 23.70
'0:13:27', 23.70
'0:13:29', 23.70
'0:13:31', 23.70
'0:13:34', 23.60
'0:13:36', 23.70
'0:13:38', 23.70
'0:13:40', 23.70
'0:13:42', 23.70
'0:13:44', 23.70
'0:13:46', 23.60
'0:13:49', 23.60
'0:13:51', 23.60
'0:13:53', 23.70
'0:13:55', 23.70
'0:13:57', 23.60
'0:13:59', 23.60
'0:14:1', 23.60
'0:14:3', 23.60
'0:14:6', 23.60
'0:14:8', 23.60
'0:14:10', 23.60
'0:14:12', 23.60
'0:14:14', 23.60
'0:14:16', 23.60
'0:14:18', 23.60
'0:14:20', 23.60
'0:14:23', 23.60
'0:14:25', 23.60
'0:14:27', 23.60
'0:14:29', 23.60
'0:14:31', 23.60
'0:14:33', 23.60
'0:14:35', 23.60
'0:14:38', 23.60
'0:14:40', 23.60
'0:14:42', 23.60
'0:14:44', 23.60
'0:14:46', 23.60
'0:14:48', 23.60
'0:14:50', 23.60
'0:14:52', 23.60
'0:14:55', 23.60
'0:14:57', 23.60
'0:14:59', 23.60
'0:15:1', 23.60
'0:15:3', 23.60
'0:15:5', 23.60
'0:15:7', 23.60
'0:15:9', 23.60
'0:15:12', 23.50
'0:15:14', 23.60
'0:15:16', 23.60
'0:15:18', 23.60
'0:15:20', 23.60
'0:15:22', 23.60
'0:15:24', 23.60
'0:15:27', 23.60
'0:15:29', 23.60
'0:15:31', 23.60
'0:15:33', 23.60
'0:15:35', 23.50
'0:15:37', 23.60
'0:15:39', 23.60
'0:15:41', 23.50
'0:15:44', 23.50
'0:15:46', 23.60
'0:15:48', 23.60
'0:15:50', 23.60
'0:15:52', 23.60
'0:15:54', 23.60
'0:15:56', 23.60
'0:15:58', 23.60
'0:16:1', 23.60
'0:16:3', 23.60
'0:16:5', 23.60
'0:16:7', 23.60
'0:16:9', 23.50
'0:16:11', 23.60
'0:16:13', 23.60
'0:16:16', 23.60
'0:16:18', 23.60
'0:16:20', 23.60
'0:16:22', 23.50
'0:16:24', 23.60
'0:16:26', 23.60
'0:16:28', 23.60
'0:16:30', 23.50
'0:16:33', 23.60
'0:16:35', 23.60
'0:16:37', 23.50
'0:16:39', 23.60
'0:16:41', 23.50
'0:16:43', 23.50
'0:16:45', 23.60
'0:16:48', 23.60
'0:16:50', 23.50
'0:16:52', 23.50
'0:16:54', 23.50
'0:16:56', 23.50
'0:16:58', 23.60
'0:17:0', 23.50
'0:17:2', 23.50
'0:17:5', 23.50
'0:17:7', 23.50
'0:17:9', 23.50
'0:17:11', 23.50
'0:17:13', 23.50
'0:17:15', 23.50
'0:17:17', 23.50
'0:17:19', 23.50
'0:17:22', 23.50
'0:17:24', 23.50
'0:17:26', 23.50
'0:17:28', 23.50
'0:17:30', 23.50
'0:17:32', 23.50
'0:17:34', 23.50
'0:17:37', 23.50
'0:17:39', 23.50
'0:17:41', 23.50
'0:17:43', 23.50
'0:17:45', 23.50
'0:17:47', 23.50
'0:17:49', 23.50
'0:17:51', 23.50
'0:17:54', 23.50
'0:17:56', 23.50
'0:17:58', 23.50
'0:18:0', 23.50
'0:18:2', 23.50
'0:18:4', 23.50
'0:18:6', 23.50
'0:18:8', 23.50
'0:18:11', 23.50
'0:18:13', 23.50
'0:18:15', 23.50
'0:18:17', 23.50
'0:18:19', 23.50
'0:18:21', 23.50
'0:18:23', 23.50
'0:18:26', 23.50
'0:18:28', 23.50
'0:18:30', 23.50
'0:18:32', 23.50
'0:18:34', 23.50
'0:18:36', 23.60
'0:18:38', 23.50
'0:18:40', 23.50
'0:18:43', 23.50
'0:18:45', 23.50
'0:18:47', 23.50
'0:18:49', 23.50
'0:18:51', 23.50
'0:18:53', 23.50
'0:18:55', 23.50
'0:18:58', 23.50
'0:19:0', 23.50
'0:19:2', 23.50
'0:19:4', 23.50
'0:19:6', 23.50
'0:19:8', 23.50
'0:19:10', 23.50
'0:19:12', 23.50
'0:19:15', 23.50
'0:19:17', 23.50
'0:19:19', 23.50
'0:19:21', 23.50
'0:19:23', 23.60
'0:19:25', 23.50
'0:19:27', 23.50
'0:19:29', 23.50
'0:19:32', 23.50
'0:19:34', 23.50
'0:19:36', 23.50
'0:19:38', 23.50
'0:19:40', 23.50
'0:19:42', 23.50
'0:19:44', 23.50
'0:19:47', 23.50
'0:19:49', 23.50
'0:19:51', 23.50
'0:19:53', 23.50
'0:19:55', 23.50
'0:19:57', 23.50
'0:19:59', 23.50
'0:20:1', 23.50
'0:20:4', 23.50
'0:20:6', 23.50
'0:20:8', 23.50
'0:20:10', 23.50
'0:20:12', 23.50
'0:20:14', 23.50
'0:20:16', 23.50
'0:20:18', 23.50
'0:20:21', 23.50
'0:20:23', 23.50
'0:20:25', 23.50
'0:20:27', 23.50
'0:20:29', 23.50
'0:20:31', 23.50
'0:20:33', 23.50
'0:20:36', 23.50
'0:20:38', 23.50
'0:20:40', 23.50
'0:20:42', 23.50
'0:20:44', 23.50
'0:20:46', 23.50
'0:20:48', 23.50
'0:20:50', 23.50
'0:20:53', 23.50
'0:20:55', 23.50
'0:20:57', 23.50
'0:20:59', 23.50
'0:21:1', 23.50
'0:21:3', 23.50
'0:21:5', 23.50
'0:21:7', 23.50
'0:21:10', 23.50
'0:21:12', 23.50
'0:21:14', 23.40
'0:21:16', 23.40
'0:21:18', 23.50
'0:21:20', 23.50
'0:21:22', 23.50
'0:21:25', 23.50
'0:21:27', 23.40
'0:21:29', 23.50
'0:21:31', 23.50
'0:21:33', 23.40
'0:21:35', 23.50
'0:21:37', 23.50
'0:21:39', 23.40
'0:21:42', 23.50
'0:21:44', 23.50
'0:21:46', 23.50
'0:21:48', 23.40
'0:21:50', 23.50
'0:21:52', 23.50
'0:21:54', 23.50
'0:21:56', 23.50
'0:21:59', 23.50
'0:22:1', 23.50
'0:22:3', 23.50
'0:22:5', 23.40
'0:22:7', 23.50
'0:22:9', 23.50
'0:22:11', 23.40
'0:22:14', 23.50
'0:22:16', 23.50
'0:22:18', 23.40
'0:22:20', 23.50
'0:22:22', 23.50
'0:22:24', 23.50
'0:22:26', 23.50
'0:22:28', 23.50
'0:22:31', 23.50
'0:22:33', 23.50
'0:22:35', 23.50
'0:22:37', 23.50
'0:22:39', 23.50
'0:22:41', 23.50
'0:22:43', 23.40
'0:22:46', 23.30
'0:22:48', 23.50
'0:22:50', 23.40
'0:22:52', 23.50
'0:22:54', 23.50
'0:22:56', 23.40
'0:22:58', 23.50
'0:23:0', 23.40
'0:23:3', 23.50
'0:23:5', 23.50
'0:23:7', 23.40
'0:23:9', 23.50
'0:23:11', 23.50
'0:23:13', 23.50
'0:23:15', 23.40
'0:23:17', 23.50
'0:23:20', 23.40
'0:23:22', 23.50
'0:23:24', 23.40
'0:23:26', 23.50
'0:23:28', 23.50
'0:23:30', 23.50
'0:23:32', 23.50
'0:23:35', 23.40
'0:23:37', 23.40
'0:23:39', 23.50
'0:23:41', 23.50
'0:23:43', 23.40
'0:23:45', 23.50
'0:23:47', 23.40
'0:23:49', 23.40
'0:23:52', 23.40
'0:23:54', 23.50
'0:23:56', 23.40
'0:23:58', 23.50
'0:24:0', 23.40
'0:24:2', 23.50
'0:24:4', 23.40
'0:24:6', 23.40
'0:24:9', 23.40
'0:24:11', 23.50
'0:24:13', 23.30
'0:24:15', 23.50
'0:24:17', 23.40
'0:24:19', 23.40
'0:24:21', 23.50
'0:24:24', 23.40
'0:24:26', 23.40
'0:24:28', 23.40
'0:24:30', 23.40
'0:24:32', 23.40
'0:24:34', 23.50
'0:24:36', 23.40
'0:24:38', 23.40
'0:24:41', 23.40
'0:24:43', 23.40
'0:24:45', 23.40
'0:24:47', 23.40
'0:24:49', 23.40
'0:24:51', 23.50
'0:24:53', 23.40
'0:24:56', 23.40
'0:24:58', 23.40
'0:25:0', 23.40
'0:25:2', 23.40
'0:25:4', 23.40
'0:25:6', 23.40
'0:25:8', 23.40
'0:25:10', 23.50
'0:25:13', 23.50
'0:25:15', 23.40
'0:25:17', 23.40
'0:25:19', 23.40
'0:25:21', 23.40
'0:25:23', 23.40
'0:25:25', 23.40
'0:25:27', 23.40
'0:25:30', 23.40
'0:25:32', 23.40
'0:25:34', 23.40
'0:25:36', 23.40
'0:25:38', 23.40
'0:25:40', 23.40
'0:25:42', 23.40
'0:25:45', 23.40
'0:25:47', 23.40
'0:25:49', 23.40
'0:25:51', 23.40
'0:25:53', 23.40
'0:25:55', 23.40
'0:25:57', 23.40
'0:25:59', 23.40
'0:26:2', 23.40
'0:26:4', 23.50
'0:26:6', 23.40
'0:26:8', 23.40
'0:26:10', 23.40
'0:26:12', 23.40
'0:26:14', 23.40
'0:26:16', 23.40
'0:26:19', 23.40
'0:26:21', 23.40
'0:26:23', 23.40
'0:26:25', 23.40
'0:26:27', 23.40
'0:26:29', 23.40
'0:26:31', 23.40
'0:26:34', 23.40
'0:26:36', 23.40
'0:26:38', 23.40
'0:26:40', 23.40
'0:26:42', 23.40
'0:26:44', 23.40
'0:26:46', 23.40
'0:26:48', 23.40
'0:26:51', 23.40
'0:26:53', 23.40
'0:26:55', 23.40
'0:26:57', 23.40
'0:26:59', 23.40
'0:27:1', 23.40
'0:27:3', 23.40
'0:27:5', 23.40
'0:27:8', 23.40
'0:27:10', 23.40
'0:27:12', 23.40
'0:27:14', 23.40
'0:27:16', 23.40
'0:27:18', 23.50
'0:27:20', 23.40
'0:27:23', 23.40
'0:27:25', 23.40
'0:27:27', 23.40
'0:27:29', 23.40
'0:27:31', 23.30
'0:27:33', 23.40
'0:27:35', 23.40
'0:27:37', 23.40
'0:27:40', 23.40
'0:27:42', 23.40
'0:27:44', 23.40
'0:27:46', 23.40
'0:27:48', 23.50
'0:27:50', 23.40
'0:27:52', 23.40
'0:27:54', 23.40
'0:27:57', 23.40
'0:27:59', 23.40
'0:28:1', 23.40
'0:28:3', 23.40
'0:28:5', 23.40
'0:28:7', 23.40
'0:28:9', 23.40
'0:28:12', 23.30
'0:28:14', 23.40
'0:28:16', 23.40
'0:28:18', 23.40
'0:28:20', 23.40
'0:28:22', 23.40
'0:28:24', 23.30
'0:28:26', 23.40
'0:28:29', 23.40
'0:28:31', 23.40
'0:28:33', 23.40
'0:28:35', 23.40
'0:28:37', 23.40
'0:28:39', 23.40
'0:28:41', 23.40
'0:28:43', 23.40
'0:28:46', 23.40
'0:28:48', 23.40
'0:28:50', 23.40
'0:28:52', 23.40
'0:28:54', 23.40
'0:28:56', 23.40
'0:28:58', 23.40
'0:29:1', 23.40
'0:29:3', 23.40
'0:29:5', 23.40
'0:29:7', 23.40
'0:29:9', 23.40
'0:29:11', 23.40
'0:29:13', 23.40
'0:29:15', 23.40
'0:29:18', 23.40
'0:29:20', 23.40
'0:29:22', 23.40
'0:29:24', 23.40
'0:29:26', 23.40
'0:29:28', 23.40
'0:29:30', 23.30
'0:29:32', 23.40
'0:29:35', 23.40
'0:29:37', 23.40
'0:29:39', 23.40
'0:29:41', 23.40
'0:29:43', 23.40
'0:29:45', 23.40
'0:29:47', 23.40
'0:29:50', 23.40
'0:29:52', 23.30
'0:29:54', 23.40
'0:29:56', 23.40
'0:29:58', 23.40
'0:30:0', 23.50
'0:30:2', 23.40
'0:30:4', 23.40
'0:30:7', 23.40
'0:30:9', 23.30
'0:30:11', 23.30
'0:30:13', 23.30
'0:30:15', 23.40
'0:30:17', 23.40
'0:30:19', 23.30
'0:30:22', 23.30
'0:30:24', 23.30
'0:30:26', 23.30
'0:30:28', 23.40
'0:30:30', 23.40
'0:30:32', 23.30
'0:30:34', 23.40
'0:30:36', 23.40
'0:30:39', 23.40
'0:30:41', 23.40
'0:30:43', 23.40
'0:30:45', 23.30
'0:30:47', 23.30
'0:30:49', 23.40
'0:30:51', 23.30
'0:30:53', 23.40
'0:30:56', 23.40
'0:30:58', 23.40
'0:31:0', 23.40
'0:31:2', 23.30
'0:31:4', 23.30
'0:31:6', 23.40
'0:31:8', 23.30
'0:31:11', 23.40
'0:31:13', 23.40
'0:31:15', 23.40
'0:31:17', 23.40
'0:31:19', 23.40
'0:31:21', 23.40
'0:31:23', 23.30
'0:31:25', 23.40
'0:31:28', 23.40
'0:31:30', 23.40
'0:31:32', 23.40
'0:31:34', 23.30
'0:31:36', 23.50
'0:31:38', 23.40
'0:31:40', 23.30
'0:31:42', 23.30
'0:31:45', 23.40
'0:31:47', 23.40
'0:31:49', 23.30
'0:31:51', 23.30
'0:31:53', 23.40
'0:31:55', 23.30
'0:31:57', 23.40
'0:32:0', 23.40
'0:32:2', 23.30
'0:32:4', 23.30
'0:32:6', 23.30
'0:32:8', 23.40
'0:32:10', 23.30
'0:32:12', 23.30
'0:32:14', 23.40
'0:32:17', 23.30
'0:32:19', 23.30
'0:32:21', 23.30
'0:32:23', 23.40
'0:32:25', 23.40
'0:32:27', 23.30
'0:32:29', 23.30
'0:32:31', 23.40
'0:32:34', 23.30
'0:32:36', 23.30
'0:32:38', 23.40
'0:32:40', 23.30
'0:32:42', 23.30
'0:32:44', 23.40
'0:32:46', 23.30
'0:32:49', 23.30
'0:32:51', 23.30
'0:32:53', 23.30
'0:32:55', 23.30
'0:32:57', 23.20
'0:32:59', 23.30
'0:33:1', 23.40
'0:33:3', 23.30
'0:33:6', 23.40
'0:33:8', 23.30
'0:33:10', 23.30
'0:33:12', 23.30
'0:33:14', 23.30
'0:33:16', 23.30
'0:33:18', 23.30
'0:33:21', 23.30
'0:33:23', 23.40
'0:33:25', 23.30
'0:33:27', 23.40
'0:33:29', 23.30
'0:33:31', 23.30
'0:33:33', 23.30
'0:33:35', 23.30
'0:33:38', 23.30
'0:33:40', 23.30
'0:33:42', 23.30
'0:33:44', 23.30
'0:33:46', 23.30
'0:33:48', 23.30
'0:33:50', 23.30
'0:33:52', 23.30
'0:33:55', 23.40
'0:33:57', 23.40
'0:33:59', 23.30
'0:34:1', 23.30
'0:34:3', 23.30
'0:34:5', 23.30
'0:34:7', 23.30
'0:34:10', 23.30
'0:34:12', 23.30
'0:34:14', 23.30
'0:34:16', 23.30
'0:34:18', 23.30
'0:34:20', 23.30
'0:34:22', 23.30
'0:34:24', 23.30
'0:34:27', 23.30
'0:34:29', 23.40
'0:34:31', 23.30
'0:34:33', 23.30
'0:34:35', 23.30
'0:34:37', 23.30
'0:34:39', 23.30
'0:34:41', 23.20
'0:34:44', 23.30
'0:34:46', 23.30
'0:34:48', 23.30
'0:34:50', 23.30
'0:34:52', 23.30
'0:34:54', 23.30
'0:34:56', 23.30
'0:34:59', 23.30
'0:35:1', 23.30
'0:35:3', 23.30
'0:35:5', 23.30
'0:35:7', 23.40
'0:35:9', 23.30
'0:35:11', 23.30
'0:35:13', 23.30
'0:35:16', 23.30
'0:35:18', 23.30
'0:35:20', 23.30
'0:35:22', 23.30
'0:35:24', 23.20
'0:35:26', 23.30
'0:35:28', 23.30
'0:35:31', 23.30
'0:35:33', 23.30
'0:35:35', 23.30
'0:35:37', 23.30
'0:35:39', 23.30
'0:35:41', 23.30
'0:35:43', 23.30
'0:35:45', 23.30
'0:35:48', 23.30
'0:35:50', 23.30
'0:35:52', 23.20
'0:35:54', 23.30
'0:35:56', 23.30
'0:35:58', 23.30
'0:36:0', 23.30
'0:36:3', 23.30
'0:36:5', 23.30
'0:36:7', 23.30
'0:36:9', 23.30
'0:36:11', 23.30
'0:36:13', 23.30
'0:36:15', 23.30
'0:36:17', 23.20
'0:36:20', 23.30
'0:36:22', 23.30
'0:36:24', 23.20
'0:36:26', 23.30
'0:36:28', 23.30
'0:36:30', 23.30
'0:36:32', 23.30
'0:36:34', 23.30
'0:36:37', 23.30
'0:36:39', 23.30
'0:36:41', 23.30
'0:36:43', 23.30
'0:36:45', 23.30
'0:36:47', 23.30
'0:36:49', 23.30
'0:36:52', 23.30
'0:36:54', 23.30
