'time', 'Temp'
'0:10:15', 4.20
'0:10:18', 4.20
'0:10:20', 4.20
'0:10:22', 4.20
'0:10:24', 4.20
'0:10:26', 4.20
'0:10:28', 4.20
'0:10:30', 4.20
'0:10:33', 4.20
'0:10:35', 4.20
'0:10:37', 4.20
'0:10:39', 4.10
'0:10:41', 4.10
'0:10:43', 4.10
'0:10:45', 4.10
'0:10:47', 4.10
'0:10:50', 4.00
'0:10:52', 4.00
'0:10:54', 4.00
'0:10:56', 4.00
'0:10:58', 4.00
'0:11:0', 4.00
'0:11:2', 4.00
'0:11:4', 4.00
'0:11:6', 4.00
'0:11:9', 4.00
'0:11:11', 4.00
'0:11:13', 4.00
'0:11:15', 4.00
'0:11:17', 4.00
'0:11:19', 4.00
'0:11:21', 4.00
'0:11:23', 4.00
'0:11:26', 4.00
'0:11:28', 4.00
'0:11:30', 4.00
'0:11:32', 4.00
'0:11:34', 4.00
'0:11:36', 4.10
'0:11:38', 4.10
'0:11:40', 4.10
'0:11:43', 4.20
'0:11:45', 4.20
'0:11:47', 4.20
'0:11:49', 4.20
'0:11:51', 4.20
'0:11:53', 4.20
'0:11:55', 4.20
'0:11:57', 4.20
'0:12:0', 4.20
'0:12:2', 4.20
'0:12:4', 4.20
'0:12:6', 4.20
'0:12:8', 4.20
'0:12:10', 4.20
'0:12:12', 4.20
'0:12:14', 4.20
'0:12:17', 4.20
'0:12:19', 4.20
'0:12:21', 4.20
'0:12:23', 4.20
'0:12:25', 4.10
'0:12:27', 4.10
'0:12:29', 4.10
'0:12:31', 4.10
'0:12:34', 4.10
'0:12:36', 4.10
'0:12:38', 4.10
'0:12:40', 4.10
'0:12:42', 4.10
'0:12:44', 4.10
'0:12:46', 4.10
'0:12:48', 4.10
'0:12:51', 4.10
'0:12:53', 4.10
'0:12:55', 4.10
'0:12:57', 4.10
'0:12:59', 4.10
'0:13:1', 4.10
'0:13:3', 4.10
'0:13:5', 4.10
'0:13:7', 4.20
'0:13:10', 4.20
'0:13:12', 4.20
'0:13:14', 4.20
'0:13:16', 4.20
'0:13:18', 4.20
'0:13:20', 4.20
'0:13:22', 4.20
'0:13:24', 4.20
'0:13:27', 4.20
'0:13:29', 4.10
'0:13:31', 4.10
'0:13:33', 4.10
'0:13:35', 4.10
'0:13:37', 4.20
'0:13:39', 4.20
'0:13:41', 4.10
'0:13:44', 4.20
'0:13:46', 4.10
'0:13:48', 4.10
'0:13:50', 4.10
'0:13:52', 4.10
'0:13:54', 4.10
'0:13:56', 4.10
'0:13:58', 4.10
'0:14:1', 4.10
'0:14:3', 4.10
'0:14:5', 4.10
'0:14:7', 4.10
'0:14:9', 4.10
'0:14:11', 4.10
'0:14:13', 4.10
'0:14:15', 4.10
'0:14:18', 4.10
'0:14:20', 4.10
'0:14:22', 4.10
'0:14:24', 4.10
'0:14:26', 4.10
