'time', 'Temp'
'0:9:57', 1.00
'0:9:59', 1.00
'0:10:2', 1.00
'0:10:4', 1.00
'0:10:6', 1.00
'0:10:8', 1.00
'0:10:10', 1.00
'0:10:12', 1.00
'0:10:14', 1.00
'0:10:16', 1.00
'0:10:19', 1.00
'0:10:21', 1.00
'0:10:23', 1.00
'0:10:25', 1.00
'0:10:27', 1.00
'0:10:29', 1.00
'0:10:31', 1.00
'0:10:33', 1.00
'0:10:35', 1.00
'0:10:38', 1.00
'0:10:40', 1.00
'0:10:42', 1.00
'0:10:44', 1.00
'0:10:46', 1.00
'0:10:48', 1.00
'0:10:50', 1.00
'0:10:52', 1.00
'0:10:55', 1.00
'0:10:57', 1.00
'0:10:59', 1.00
'0:11:1', 1.00
'0:11:3', 1.00
'0:11:5', 1.00
'0:11:7', 1.00
'0:11:9', 1.00
'0:11:12', 1.00
'0:11:14', 1.00
'0:11:16', 1.00
'0:11:18', 1.00
'0:11:20', 0.90
'0:11:22', 0.90
'0:11:24', 0.90
'0:11:26', 0.90
'0:11:29', 0.90
'0:11:31', 0.90
'0:11:33', 0.90
'0:11:35', 0.90
'0:11:37', 0.90
'0:11:39', 0.90
'0:11:41', 0.90
'0:11:43', 0.90
'0:11:45', 0.90
'0:11:48', 0.90
'0:11:50', 0.90
'0:11:52', 0.90
'0:11:54', 0.90
'0:11:56', 0.90
'0:11:58', 0.90
'0:12:0', 0.90
'0:12:2', 0.90
'0:12:5', 0.90
'0:12:7', 0.90
'0:12:9', 0.80
'0:12:11', 0.90
'0:12:13', 0.80
'0:12:15', 0.90
'0:12:17', 0.90
'0:12:19', 0.90
'0:12:22', 0.90
'0:12:24', 0.80
'0:12:26', 0.80
'0:12:28', 0.80
'0:12:30', 0.80
'0:12:32', 0.80
'0:12:34', 0.80
'0:12:36', 0.80
'0:12:39', 0.80
'0:12:41', 0.80
'0:12:43', 0.80
'0:12:45', 0.80
'0:12:47', 0.80
'0:12:49', 0.80
'0:12:51', 0.80
'0:12:53', 0.80
'0:12:56', 0.80
'0:12:58', 0.80
'0:13:0', 0.80
'0:13:2', 0.80
'0:13:4', 0.80
'0:13:6', 0.80
'0:13:8', 0.80
'0:13:10', 0.80
'0:13:12', 0.80
'0:13:15', 0.80
'0:13:17', 0.80
'0:13:19', 0.70
'0:13:21', 0.80
'0:13:23', 0.70
'0:13:25', 0.70
'0:13:27', 0.70
'0:13:29', 0.70
'0:13:32', 0.80
'0:13:34', 0.70
'0:13:36', 0.70
'0:13:38', 0.70
'0:13:40', 0.70
'0:13:42', 0.70
'0:13:44', 0.70
'0:13:46', 0.70
'0:13:49', 0.70
'0:13:51', 0.70
'0:13:53', 0.70
'0:13:55', 0.70
'0:13:57', 0.70
'0:13:59', 0.70
'0:14:1', 0.70
'0:14:3', 0.70
'0:14:5', 0.70
'0:14:8', 0.70
'0:14:10', 0.70
'0:14:12', 0.70
'0:14:14', 0.70
'0:14:16', 0.70
'0:14:18', 0.70
'0:14:20', 0.70
'0:14:22', 0.70
'0:14:25', 0.70
'0:14:27', 0.70
'0:14:29', 0.60
'0:14:31', 0.70
'0:14:33', 0.70
'0:14:35', 0.60
'0:14:37', 0.60
'0:14:39', 0.70
'0:14:42', 0.60
'0:14:44', 0.60
'0:14:46', 0.60
'0:14:48', 0.60
'0:14:50', 0.60
'0:14:52', 0.60
'0:14:54', 0.60
'0:14:56', 0.60
'0:14:59', 0.60
'0:15:1', 0.60
'0:15:3', 0.60
'0:15:5', 0.60
'0:15:7', 0.60
'0:15:9', 0.60
'0:15:11', 0.60
'0:15:13', 0.60
'0:15:15', 0.60
'0:15:18', 0.60
'0:15:20', 0.60
'0:15:22', 0.50
'0:15:24', 0.50
'0:15:26', 0.50
'0:15:28', 0.50
'0:15:30', 0.60
'0:15:32', 0.60
'0:15:35', 0.50
'0:15:37', 0.60
'0:15:39', 0.50
'0:15:41', 0.50
'0:15:43', 0.50
'0:15:45', 0.50
'0:15:47', 0.50
'0:15:49', 0.50
'0:15:52', 0.50
'0:15:54', 0.50
'0:15:56', 0.50
'0:15:58', 0.50
'0:16:0', 0.50
'0:16:2', 0.50
'0:16:4', 0.50
'0:16:6', 0.50
'0:16:9', 0.50
